# Format: "Card Name",SET,https://link-to-png
# Drop your own list here, one card per line, optional quantity prefix.
"You Find the Villains' Lair",AFR,https://cards.scryfall.io/png/front/c/6/c6704458-6e9e-4795-a56d-25b68fbf9672.png?1783926504
"Pixie Guide",AFR,https://cards.scryfall.io/png/front/c/6/c65631b9-ca62-4851-9eca-9c760fb1a177.png?1783926512
"Arborea Pegasus",AFR,https://cards.scryfall.io/png/front/f/c/fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97.png?1783926539
"Bull's Strength",AFR,https://cards.scryfall.io/png/front/0/9/092cab70-c771-4c96-a5ce-22f2e32e3ea8.png?1783926467
"Hoard Robber",AFR,https://cards.scryfall.io/png/front/b/7/b723d9cd-05f5-4894-9f2b-52a434a3019c.png?1783926493
"Dueling Rapier",AFR,https://cards.scryfall.io/png/front/c/3/c304118a-c83b-490a-b0e2-721734a996ee.png?1783926480
"Contact Other Plane",AFR,https://cards.scryfall.io/png/front/a/6/a6fefb38-c6f2-43c4-a6b9-ac82f8827bc2.png?1783926518
"You're Ambushed on the Road",AFR,https://cards.scryfall.io/png/front/7/2/726da84a-fdd4-46df-8ba4-f94d582bcce4.png?1783926521
"Spiked Pit Trap",AFR,https://cards.scryfall.io/png/front/5/9/59fbf45a-23b4-4d06-abd9-4cc3895cb29d.png?1783926437
"Thieves' Tools",AFR,https://cards.scryfall.io/png/front/f/5/f50b922e-32dd-4645-b6f4-c07d1a0c70fc.png?1783926487
"Orcus, Prince of Undeath",AFR,https://cards.scryfall.io/png/front/9/1/91f5c6d3-fb04-4a2e-87b6-9ed2314085a8.png?1783926445
"Choose Your Weapon",AFR,https://cards.scryfall.io/png/front/2/1/213726e4-e2f5-4e52-b05a-21c4bab9927c.png?1783926466
"Demogorgon's Clutches",AFR,https://cards.scryfall.io/png/front/5/8/581e7ac6-65e5-4a16-ab0b-0988c3a3cfea.png?1783926498
"Power of Persuasion",AFR,https://cards.scryfall.io/png/front/8/d/8d84cb72-d0a0-4af0-aded-47e5fb7addef.png?1783926511
"Barrier of Bones",GRN,https://cards.scryfall.io/png/front/2/8/28129aaf-aaff-47f4-8dd2-8c576c55052c.png?1783934180
"Burglar Rat",GRN,https://cards.scryfall.io/png/front/e/9/e9f7f218-fd2a-4233-8753-065ddc314f2d.png?1783934179
"Candlelight Vigil",GRN,https://cards.scryfall.io/png/front/e/9/e920a75f-7dec-4815-a358-e174401da83b.png?1783934204
"Dimir Guildgate",GRN,https://cards.scryfall.io/png/front/b/7/b7129bdf-de02-4ed2-b5de-f774b8a7d302.png?1783934104
"Direct Current",GRN,https://cards.scryfall.io/png/front/1/6/166b0d75-824c-4c04-833b-7f7c69569a18.png?1783934165
"Fresh-Faced Recruit",GRN,https://cards.scryfall.io/png/front/a/8/a8b19518-7752-4673-a7d8-ae2e0070129c.png?1783934118
"Generous Stray",GRN,https://cards.scryfall.io/png/front/3/2/3289db66-231f-4370-aca6-644d75bee293.png?1783934152
"Loxodon Restorer",GRN,https://cards.scryfall.io/png/front/1/e/1ead2166-a7ca-49cb-bf93-2f59c37b4cb9.png?1783934196
"Notion Rain",GRN,https://cards.scryfall.io/png/front/f/4/f4db287e-34c1-459b-882d-3db58f13eade.png?1783934125
"Pack's Favor",GRN,https://cards.scryfall.io/png/front/0/f/0f88c3aa-63e1-4617-bf1f-48f44988e7d6.png?1783934147
"Wishcoin Crab",GRN,https://cards.scryfall.io/png/front/6/5/6580d6a2-ee21-4442-9842-18c65a172f49.png?1783934181
"Firemind's Research",GRN,https://cards.scryfall.io/png/front/4/b/4bc926b2-1e54-4c62-8b6c-fce4ef013abc.png?1783934133
"Electrostatic Field",GRN,https://cards.scryfall.io/png/front/7/0/7096c9a6-2e73-41f8-b20a-b29a9f0b760c.png?1783934165
"Gird for Battle",GRN,https://cards.scryfall.io/png/front/f/9/f9f731df-eb40-44c8-a72d-f377c824584d.png?1783934202
"Hellkite Whelp",GRN,https://cards.scryfall.io/png/front/6/5/65e902e8-bbd5-40fe-a655-45d3d3bc9fde.png?1783934162
"Excavation Mole",IKO,https://cards.scryfall.io/png/front/3/a/3a1712dc-8f4c-407f-83ea-3a1c59c437d1.png?1783931038
"Evolving Wilds",IKO,https://cards.scryfall.io/png/front/8/e/8e3d6745-8904-4905-a98f-d43f18b51d6d.png?1783931001
"Convolute",IKO,https://cards.scryfall.io/png/front/3/f/3fd8e607-8179-4ae8-ba7f-f5f22649dc18.png?1783931078
"Adventurous impulse",IKO,https://cards.scryfall.io/png/front/3/0/30811fb2-5767-4106-9a8d-6091f61969c6.png?1783931042
"Blitz leech",IKO,https://cards.scryfall.io/png/front/7/d/7d9b5bde-a851-480b-b45e-d384fd1c11bb.png?1783931066
"Checkpoint Officer",IKO,https://cards.scryfall.io/png/front/4/a/4a0e12f5-7b15-4a8c-b045-35bcbf1fbb90.png?1783931093
"Drannith Stinger",IKO,https://cards.scryfall.io/png/front/6/1/612ee4be-e7a2-423c-a37c-7c6ca97f630e.png?1783931051
"Thieving Otter",IKO,https://cards.scryfall.io/png/front/0/7/07f84b0a-37d9-4b0f-8d75-1fab45a12d44.png?1783931068
"Sudden Spinnerets",IKO,https://cards.scryfall.io/png/front/3/7/3730996a-96d2-4311-a4dc-0045a2f8ccc9.png?1783931029
"Quartzwood Crasher",IKO,https://cards.scryfall.io/png/front/c/8/c8e4c609-19c9-433b-a852-7999e375ee4f.png?1783931019
"Mystic Subdual",IKO,https://cards.scryfall.io/png/front/6/2/627c2111-b7d7-40bc-aa30-57d72338b32d.png?1783931073
"Zenith Flare",IKO,https://cards.scryfall.io/png/front/0/e/0efac1ed-3f01-487c-86be-8239568b4425.png?1783931012
"Ketria Crystal",IKO,https://cards.scryfall.io/png/front/7/d/7df435cb-3aeb-490a-8fca-91f3b6936965.png?1783931008
"Coordinated Charge",IKO,https://cards.scryfall.io/png/front/1/2/129c404b-2c1e-4f0b-bb4e-7e8e627a69a8.png?1783931092
"Act of Treason",M19,https://cards.scryfall.io/png/front/9/1/9160dde8-cd77-4967-a5f3-a676376c58f7.png?1783934557
"Aven Wind Mage",M19,https://cards.scryfall.io/png/front/1/b/1b12dfc1-81f2-44b2-baa2-73cc21363978.png?1783934592
